Código;Lk_venda;Lk_produto;Qtd;Valor vendido;Custo;Valor normal
339;234;1542;1;260,00;0,00;
340;236;1542;1;190,00;0,00;
341;237;1534;1;100,00;0,00;
342;237;5937;1;370,00;0,00;
343;238;1534;1;100,00;0,00;
344;238;7003;1;290,00;0,00;
345;239;6951;1;290,00;0,00;
346;239;5627;1;620,00;0,00;
347;241;1554;1;118,00;0,00;
348;241;6953;1;260,00;0,00;
349;242;1534;1;110,00;0,00;
350;242;6970;1;290,00;0,00;
352;243;7023;1;200,00;0,00;
353;244;7023;1;290,00;0,00;
354;245;6682;1;470,00;0,00;
355;246;1534;1;110,00;0,00;
356;248;1760;1;350,00;0,00;
357;249;1542;1;200,00;0,00;
358;250;1534;1;70,00;0,00;
359;251;6822;1;100,00;0,00;
360;252;6217;1;550,00;0,00;
361;254;5734;1;350,00;0,00;
362;256;1534;1;100,00;0,00;
363;257;5734;1;315,00;0,00;
364;258;6959;1;290,00;0,00;
365;258;1534;1;110,00;0,00;
366;260;1542;1;210,00;0,00;
367;260;4779;1;250,00;0,00;
368;261;3495;1;100,00;0,00;
369;261;4200;1;230,00;0,00;
370;254;1533;2;140,00;0,00;
371;262;6903;1;290,00;0,00;
372;262;1534;1;110,00;0,00;
373;266;1542;1;200,00;0,00;
374;266;6850;1;250,00;0,00;
